"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"175","Bolivia (Plurinational State of)","Republic of Korea",16,-64.68538645,-16.70814787,127.8391609,36.38523983
"176","Bolivia (Plurinational State of)","Switzerland",16.6,-64.68538645,-16.70814787,8.20867471,46.79785878
"177","Bolivia (Plurinational State of)","United Arab Emirates",0.2,-64.68538645,-16.70814787,54.3001671,23.90528188
"178","Bolivia (Plurinational State of)","United Kingdom of Great Britain and Northern Ireland",82.2,-64.68538645,-16.70814787,-2.86563164,54.12387156
"179","Bolivia (Plurinational State of)","United States of America",523,-64.68538645,-16.70814787,-112.4616737,45.6795472
"180","Bosnia and Herzegovina","Croatia",8.4,17.76876733,44.17450125,16.40412899,45.08047631
"181","Bosnia and Herzegovina","Slovenia",1.2,17.76876733,44.17450125,14.80444238,46.11554772
"182","Bosnia and Herzegovina","Sweden",3.6,17.76876733,44.17450125,16.74558049,62.77966519
"183","Bosnia and Herzegovina","United States of America",3.4,17.76876733,44.17450125,-112.4616737,45.6795472
"184","Botswana","Nigeria",0.2,23.79853368,-22.18403213,8.08943895,9.59411452
"185","Botswana","South Africa",1.4,23.79853368,-22.18403213,25.08390093,-29.00034095
"186","Brazil","Albania",787,-53.09783113,-10.78777702,20.04983396,41.14244989
"187","Brazil","Algeria",3289.8,-53.09783113,-10.78777702,2.61732301,28.15893849
"188","Brazil","Angola",0.2,-53.09783113,-10.78777702,17.53736768,-12.29336054
"189","Brazil","Argentina",25663,-53.09783113,-10.78777702,-65.17980692,-35.3813488
"190","Brazil","Armenia",15.6,-53.09783113,-10.78777702,44.92993276,40.28952569
"191","Brazil","Australia",17734.2,-53.09783113,-10.78777702,134.4910001,-25.73288704
"192","Brazil","Austria",1092.8,-53.09783113,-10.78777702,14.1264761,47.58549439
"193","Brazil","Bahamas",2.8,-53.09783113,-10.78777702,-76.62843038,24.29036702
"194","Brazil","Bahrain",84.8,-53.09783113,-10.78777702,50.54196932,26.04205135
"195","Brazil","Bangladesh",16.4,-53.09783113,-10.78777702,90.23812743,23.86731158
"196","Brazil","Belarus",35,-53.09783113,-10.78777702,28.03209307,53.53131377
"197","Brazil","Belgium",129606.4,-53.09783113,-10.78777702,4.64065114,50.63981576
"198","Brazil","Belize",100.2,-53.09783113,-10.78777702,-88.71010486,17.20027509
"199","Brazil","Benin",3.8,-53.09783113,-10.78777702,2.32785254,9.6417597
"200","Brazil","Bolivia (Plurinational State of)",2.6,-53.09783113,-10.78777702,-64.68538645,-16.70814787
"201","Brazil","Bulgaria",3422,-53.09783113,-10.78777702,25.21552909,42.76890318
"202","Brazil","Cabo Verde",301.8,-53.09783113,-10.78777702,-23.9598882,15.95523324
"203","Brazil","Canada",44406,-53.09783113,-10.78777702,-98.30777028,61.36206324
"204","Brazil","Chile",9793.8,-53.09783113,-10.78777702,-71.38256213,-37.73070989
"205","Brazil","China, Hong Kong SAR",878,-53.09783113,-10.78777702,114.1138045,22.39827737
"206","Brazil","China, Macao SAR",15,-53.09783113,-10.78777702,113.5093212,22.22311688
"207","Brazil","China, mainland",5676.4,-53.09783113,-10.78777702,103.8190735,36.56176546
"208","Brazil","China, Taiwan Province of",5302.8,-53.09783113,-10.78777702,120.9542728,23.7539928
"209","Brazil","Colombia",9645,-53.09783113,-10.78777702,-73.08114582,3.91383431
"210","Brazil","Croatia",7608.6,-53.09783113,-10.78777702,16.40412899,45.08047631
"211","Brazil","Cuba",3486.2,-53.09783113,-10.78777702,-79.01605384,21.62289528
"212","Brazil","Cyprus",1610.4,-53.09783113,-10.78777702,33.0060022,34.91667211
"213","Brazil","Czechia",182.4,-53.09783113,-10.78777702,15.31240163,49.73341233
"214","Brazil","Democratic People's Republic of Korea",365.4,-53.09783113,-10.78777702,127.1924797,40.15350311
"215","Brazil","Denmark",4598.8,-53.09783113,-10.78777702,10.02800992,55.98125296
"216","Brazil","Dominican Republic",2373.4,-53.09783113,-10.78777702,-70.50568896,18.89433082
"217","Brazil","Ecuador",1560,-53.09783113,-10.78777702,-78.75201922,-1.42381612
"218","Brazil","Egypt",3224.4,-53.09783113,-10.78777702,29.86190099,26.49593311
"219","Brazil","Estonia",190.6,-53.09783113,-10.78777702,25.54248537,58.67192972
"220","Brazil","Finland",31219.2,-53.09783113,-10.78777702,26.2746656,64.49884603
"221","Brazil","France",44875.2,-53.09783113,-10.78777702,-2.76172945,42.17344011
"222","Brazil","French Polynesia",3.8,-53.09783113,-10.78777702,-144.9049439,-14.72227409
"223","Brazil","Georgia",30.6,-53.09783113,-10.78777702,43.50780252,42.16855755
"224","Brazil","Germany",358705.2,-53.09783113,-10.78777702,10.38578051,51.10698181
"225","Brazil","Greece",24624.4,-53.09783113,-10.78777702,22.95555794,39.07469623
"226","Brazil","Guyana",2.4,-53.09783113,-10.78777702,-58.98202459,4.79378034
"227","Brazil","Hungary",3.8,-53.09783113,-10.78777702,19.39559116,47.16277506
